                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.4139,                 1.0858,                 1.2378,                0.59762,                0.48002,                0.51104,                0.31776,                 1.3295,                0.98578,                 1.1997,               0.005314,               0.005314,               0.005314
                     74,                 1.4132,                  1.086,                 1.2383,                 0.5916,                0.48927,                0.51356,                0.31928,                 1.3282,                0.98432,                 1.2002,               0.005248,               0.005248,               0.005248
                     75,                 1.4144,                 1.0876,                 1.2373,                0.59468,                0.48823,                0.51243,                0.31781,                 1.3295,                0.98356,                 1.2014,               0.005182,               0.005182,               0.005182
                     76,                 1.4176,                 1.0888,                 1.2378,                0.58972,                0.48785,                0.51348,                0.31926,                 1.3271,                0.98039,                 1.1995,               0.005116,               0.005116,               0.005116
                     77,                 1.4139,                 1.0836,                 1.2391,                0.58174,                 0.4967,                0.51338,                0.31911,                 1.3286,                0.97973,                 1.2005,                0.00505,                0.00505,                0.00505
                     78,                 1.4107,                  1.082,                 1.2349,                  0.592,                0.48988,                0.51518,                0.32025,                 1.3283,                0.97628,                 1.1981,               0.004984,               0.004984,               0.004984
                     79,                 1.4155,                 1.0825,                 1.2373,                0.58711,                0.49439,                0.51567,                0.32054,                 1.3277,                0.97751,                 1.1978,               0.004918,               0.004918,               0.004918
                     80,                 1.4085,                 1.0785,                 1.2314,                0.57983,                0.49848,                0.51549,                0.32031,                  1.325,                0.97616,                 1.1963,               0.004852,               0.004852,               0.004852
                     81,                 1.4101,                   1.08,                 1.2358,                0.59256,                0.49341,                 0.5146,                 0.3202,                 1.3233,                 0.9765,                 1.1946,               0.004786,               0.004786,               0.004786
                     82,                 1.4099,                 1.0749,                 1.2286,                0.59251,                0.48987,                0.51362,                0.31977,                 1.3231,                0.97566,                 1.1948,                0.00472,                0.00472,                0.00472
                     83,                 1.4117,                 1.0744,                 1.2304,                0.59648,                0.49073,                0.51623,                0.31975,                 1.3258,                0.97711,                 1.1959,               0.004654,               0.004654,               0.004654
                     84,                 1.4049,                 1.0667,                 1.2302,                0.57963,                0.49564,                0.51555,                0.31993,                 1.3284,                 0.9763,                 1.1976,               0.004588,               0.004588,               0.004588
                     85,                 1.4091,                 1.0747,                 1.2277,                 0.5807,                0.49265,                0.51225,                0.31749,                 1.3287,                0.97742,                 1.1971,               0.004522,               0.004522,               0.004522
                     86,                 1.4055,                 1.0706,                 1.2284,                0.59312,                0.48677,                0.51288,                 0.3191,                 1.3233,                0.97474,                 1.1945,               0.004456,               0.004456,               0.004456
